importance,emotional_intensity,relevance,pid,story
0.4,0.7,0.3,0,fake
0.7,0.3,0.5,0,true
0.3,0.6,0.2,1,fake
0.6,0.2,0.4,1,true
0.2,0.6,0.3,2,fake
0.6,0.3,0.5,2,true
0.6,0.75,0.4,3,fake
0.65,0.3,0.5,3,true
0.8,0.9,0.7,4,fake
0.4,0.2,0.3,4,true
0.4,0.7,0.3,5,fake
0.6,0.2,0.4,5,true
0.7,0.8,0.6,6,fake
0.6,0.4,0.5,6,true
0.8,0.9,0.7,7,fake
0.2,0.1,0.3,7,true
0.7,0.8,0.6,8,fake
0.3,0.2,0.4,8,true
0.3,0.6,0.2,9,fake
0.4,0.2,0.3,9,true
0.8,0.9,0.7,10,fake
0.3,0.2,0.4,10,true
0.2,0.4,0.3,11,fake
0.3,0.2,0.4,11,true
0.8,0.9,0.85,12,fake
0.6,0.3,0.4,12,true
0.4,0.7,0.3,13,fake
0.6,0.3,0.4,13,true
0.2,0.4,0.3,14,fake
0.3,0.2,0.4,14,true
0.4,0.7,0.3,15,fake
0.75,0.2,0.4,15,true
0.3,0.6,0.2,16,fake
0.6,0.3,0.4,16,true
0.8,0.9,0.7,17,fake
0.4,0.2,0.3,17,true
0.4,0.8,0.6,18,fake
0.6,0.3,0.4,18,true
0.2,0.7,0.3,19,fake
0.2,0.1,0.3,19,true
0.3,0.6,0.2,20,fake
0.3,0.2,0.4,20,true
0.2,0.3,0.1,21,fake
0.2,0.1,0.3,21,true
0.8,0.9,0.7,22,fake
0.8,0.3,0.7,22,true
0.4,0.7,0.3,23,fake
0.65,0.3,0.4,23,true
0.2,0.7,0.4,24,fake
0.6,0.3,0.4,24,true
0.2,0.7,0.3,25,fake
0.65,0.3,0.5,25,true
0.4,0.7,0.3,26,fake
0.6,0.3,0.4,26,true
0.8,0.9,0.7,27,fake
0.2,0.1,0.15,27,true
0.8,0.9,0.7,28,fake
0.3,0.2,0.4,28,true
0.7,0.8,0.4,29,fake
0.65,0.3,0.4,29,true
0.2,0.7,0.3,30,fake
0.3,0.2,0.4,30,true
0.45,0.75,0.4,31,fake
0.75,0.3,0.6,31,true
0.4,0.6,0.3,32,fake
0.4,0.2,0.3,32,true
0.4,0.7,0.3,33,fake
0.3,0.2,0.4,33,true
0.2,0.7,0.3,34,fake
0.3,0.1,0.2,34,true
0.8,0.9,0.7,35,fake
0.8,0.3,0.7,35,true
0.7,0.8,0.6,36,fake
0.2,0.3,0.4,36,true
0.2,0.4,0.3,37,fake
0.6,0.2,0.4,37,true
0.3,0.6,0.2,38,fake
0.65,0.3,0.5,38,true
0.2,0.4,0.1,39,fake
0.65,0.2,0.4,39,true
0.8,0.9,0.7,40,fake
0.4,0.3,0.2,40,true
0.8,0.9,0.7,41,fake
0.85,0.4,0.7,41,true
0.6,0.75,0.4,42,fake
0.45,0.3,0.4,42,true
0.2,0.4,0.1,43,fake
0.4,0.2,0.3,43,true
0.4,0.7,0.3,44,fake
0.75,0.2,0.6,44,true
0.75,0.8,0.65,45,fake
0.7,0.3,0.6,45,true
0.2,0.8,0.3,46,fake
0.4,0.2,0.3,46,true
0.3,0.6,0.4,47,fake
0.6,0.3,0.5,47,true
0.7,0.8,0.6,48,fake
0.6,0.3,0.5,48,true
0.6,0.75,0.65,49,fake
0.75,0.3,0.65,49,true
0.85,0.9,0.6,50,fake
0.6,0.2,0.4,50,true
0.7,0.8,0.6,51,fake
0.3,0.2,0.4,51,true
0.65,0.75,0.55,52,fake
0.75,0.3,0.6,52,true
0.7,0.8,0.6,53,fake
0.6,0.3,0.5,53,true
0.3,0.7,0.2,54,fake
0.4,0.3,0.2,54,true
0.35,0.7,0.4,55,fake
0.65,0.35,0.4,55,true
0.3,0.75,0.2,56,fake
0.4,0.2,0.3,56,true
0.75,0.8,0.7,57,fake
0.8,0.6,0.7,57,true
0.85,0.9,0.8,58,fake
0.2,0.1,0.15,58,true
0.6,0.7,0.4,59,fake
0.6,0.3,0.4,59,true
0.3,0.6,0.2,60,fake
0.65,0.3,0.4,60,true
